Duration (in seconds),LocationLatitude,LocationLongitude,QualtricsFraudScore,Age,Male,Female,NonBinary,CollegeEducation,Hispanic,White,Black,Native,Asian,AAPI,RaceNA,LibCon,IncomeUAS,ManipText,ControlText,GovEnvSpend,EnvReg,GovActionRisingTemps,Hopeful,Fearful,Sadness,Helplessness,Guilty,Optimistic,Skepticism,Angry,ImportantLeavePositiveLegacy,ImportantPositiveSocietyImpact,CareFutureGenerationsThoughts,ClimateImpactFutureGenerations,CandidateVote,Serious
9,41.5118,-81.6419,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,41.6389,-87.5996,0,60,,Female,,"No, I do not have a college degree",Yes,White,,,,,,1,NA,,,,,,,,,,,,,,,,,,,
50,45.4805,-122.6363,0,61,,Female,,"No, I do not have a college degree",No,White,,,,,,1,12500,,,,,,,,,,,,,,,,,,,
61,34.1779,-101.7385,0,69,Male,,,2,No,White,,,,,,4,40000,,,,,,,,,,,,,,,,,,,
112,36.1579,-86.8608,0,42,,Female,,"No, I do not have a college degree",No,White,,,,,,4,75000,,,,,,,,,,,,,,,,,,,
44,42.7853,-71.0714,0,64,Male,,,2,No,White,,,,,,4,20000,,,,,,,,,,,,,,,,,,,
46,35.032,-90.0139,0,66,,Female,,"No, I do not have a college degree",No,,Black or African America,,,,,2,NA,,,,,,,,,,,,,,,,,,,
84,39.7946,-84.32,0,36,,Female,,"No, I do not have a college degree",No,,Black or African America,,,,,4,10000,,,,,,,,,,,,,,,,,,,
73,30.8415,-83.9725,0,63,,Female,,2,No,White,,,,,,3,60000,,,,,,,,,,,,,,,,,,,
27,43.6055,-84.7796,0,54,,Female,,2,No,White,,,,,,4,50000,,,,,,,,,,,,,,,,,,,
646,39.6009,-79.9383,30,72,,Female,,2,No,White,,,,,,5,60000,"I wish to be remembered for being a kind and thoughtful person.  I would also like to be remembered for being a true and loyal friend. Also a person who is humble and honest, spiritual and happy. I also would like to be remembered as a humanitarian and lover of cats, and donkeys. I also try to donate money to animal protection like the aspca, humane society, or local animal shelters.",,6,6,5,2,4,4,3,2,2,2,2,5,4,4,7,Kamala Harris,Yes
34,35.7965,-78.7981,0,74,Male,,,"No, I do not have a college degree",No,White,,,,,,4,35000,,,,,,,,,,,,,,,,,,,
45,32.3213,-89.1634,0,41,,Female,,"No, I do not have a college degree",No,,Black or African America,,,,,2,7500,,,,,,,,,,,,,,,,,,,
22,41.4781,-81.5746,0,36,,Female,,"No, I do not have a college degree",Yes,White,,,,,,4,150000,,,,,,,,,,,,,,,,,,,
26,34.1847,-79.7704,0,36,,Female,,"No, I do not have a college degree",No,White,Black or African America,,,,,3,100000,,,,,,,,,,,,,,,,,,,
61,38.4819,-121.4024,0,33,Male,,,"No, I do not have a college degree",No,,,,Asian,,,4,25000,,,,,,,,,,,,,,,,,,,
42,47.3121,-122.3661,0,66,Male,,,"No, I do not have a college degree",No,White,,,,,,2,75000,,,,,,,,,,,,,,,,,,,
42,43.6055,-84.7796,0,75,Male,,,2,No,White,,,,,,4,20000,,,,,,,,,,,,,,,,,,,
66,29.9632,-90.0753,0,49,Male,,,2,No,,Black or African America,,,,,4,35000,,,,,,,,,,,,,,,,,,,
